COD_MUN,NO_MUN,ETNIA,Total_Population
5103403,Cuiabá,Indígena,2094.625616701605
5103403,Cuiabá,Parda,303133.01214025746
5103403,Cuiabá,Preta,56637.435181604
5208707,Goiânia,Amarela,21810.16717957321
5208707,Goiânia,Branca,621562.4609094943
5208707,Goiânia,Ignorado,216.8930774162816
5208707,Goiânia,Indígena,1927.754085672094
5208707,Goiânia,Parda,582662.5731717615
5208707,Goiânia,Preta,73821.15157608755
5300108,Brasília,Amarela,42679.360332661156
5300108,Brasília,Branca,1075079.1942440753
5300108,Brasília,Ignorado,853.60408151746
5300108,Brasília,Indígena,7070.281583527517
5300108,Brasília,Parda,1250314.9771763445
5300108,Brasília,Preta,194162.58258185184
